PRODUCT,REACTANT
CC(C)(C)OC(=O)NCCC(=O)c1ccc(Cl)cc1C(=O)c1ccccc1F,CC(C)(C)OC(=O)NCC#Cc1ccc(Cl)cc1C(=O)c1ccccc1F
O=C(O)c1oc(CNS(=O)(=O)c2ccccc2Cl)cc(=O)c1OCc1ccccc1,O=Cc1oc(CNS(=O)(=O)c2ccccc2Cl)cc(=O)c1OCc1ccccc1
OCc1cccc2ccccc12,Cc1cccc2ccccc12
CC(C)(C)OC(=O)N1CCC[C@@H]1Cn1nc(-c2ccc(Oc3cc(F)cc(F)c3)cc2)c2c(N)ncnc21,CC1(C)OB(c2ccc(Oc3cc(F)cc(F)c3)cc2)OC1(C)C.CC(C)(C)OC(=O)N1CCC[C@@H]1Cn1nc(I)c2c(N)ncnc21
COCc1cc(C(=O)O)ccc1-c1ccccc1C(F)(F)F,COCc1cc(C(=O)OC)ccc1-c1ccccc1C(F)(F)F
CCCCCCCC/C=C\CCCCCCCC(=O)NCCc1ccc(O)c(O)c1,CCCCCCCC/C=C\CCCCCCCC(=O)[CoA].NCCc1ccc(O)c(O)c1
CCOC(=O)C(Cc1ccc(OCc2csc(-c3cc(OC)cc(OC)c3)n2)c(F)c1)OCC,COc1cc(OC)cc(-c2nc(CCl)cs2)c1.CCOC(=O)C(Cc1ccc(O)c(F)c1)OCC
CCCCN(CC)c1ccc(C(F)(F)F)cc1C(=O)O,CCCCN(CC)c1ccc(C(F)(F)F)cc1C=O
O=C1NC(c2ccccc2)=C(c2ccccc2)C(c2cc(O)c(C(=O)O)c(Cl)c2)N1,COC(=O)c1c(O)cc(C=O)cc1Cl.NC(N)=O.O=C(Cc1ccccc1)c1ccccc1
COc1cnc(C(C)N)cn1,COc1cnc(C#N)cn1.C[Mg]Br
O=c1c2ccc(/C=C/c3ccccc3)cc2nc2n1CCCCC2,O=c1c2ccc(Br)cc2nc2n1CCCCC2.C=Cc1ccccc1
C[C@@H](c1ccc(-c2ccc(C3(C)CCN(C)C3=O)nc2)cc1)N1CC[C@](CC(C)(C)O)(c2ccccc2)OC1=O,CN1CCC(C)(c2ccc(Br)cn2)C1=O.C[C@@H](c1ccc(B2OC(C)(C)C(C)(C)O2)cc1)N1CC[C@](CC(C)(C)O)(c2ccccc2)OC1=O
Cc1ccc(S(=O)(=O)Nc2ccc3cnccc3c2)cc1,Nc1ccc2cnccc2c1.Cc1ccc(S(=O)(=O)Cl)cc1
CC(=O)O[C@H]1CC[C@]2(C)[C@H]3CC[C@]4(C)[C@@H](CC#N)CC[C@]4(O)[C@@H]3CC[C@@H]2C1,CC(=O)O[C@H]1CC[C@]2(C)[C@H]3CC[C@]4(C)[C@@H](CC[N+](=O)O)CC[C@]4(O)[C@@H]3CC[C@@H]2C1
Cc1c(Cc2ccccc2)nnc(C2=CCN(c3ccc(C(F)(F)F)cn3)CC2)c1C,FC(F)(F)c1ccc(Cl)nc1.Cc1c(Cc2ccccc2)nnc(C2=CCNCC2)c1C
COC(=O)COc1cnc(COC(=O)C(F)(F)F)cc1[N+](=O)O,O=C(OC(=O)C(F)(F)F)C(F)(F)F.COC(=O)COc1c[n+](O)c(C)cc1[N+](=O)O
C[Se+](C)CCCN,C[Se+](C)CC[C@H](N)C(=O)O
Nc1ccc(-c2cccs2)cc1NC(=O)c1ccc(C2(c3nc(-c4cccnc4)cs3)CCOCC2)cc1,CC(C)(C)OC(=O)Nc1ccc(-c2cccs2)cc1N.COC(=O)c1ccc(C2(c3nc(-c4cccnc4)cs3)CCOCC2)cc1
Cc1c(C(=O)Nc2cc(F)c(Oc3ccnc(N)c3)cc2F)c(=O)n(-c2ccccc2)n1C,Cc1c(C(=O)Nc2cc(F)c(Oc3ccnc(C(N)=O)c3)cc2F)c(=O)n(-c2ccccc2)n1C
COC(=O)C(C)(C)n1cc([C@H](NS(=O)C(C)(C)C)c2ccc(OCC(F)(F)F)cn2)nn1,CC(C)(C(=O)O)n1cc([C@H](NS(=O)C(C)(C)C)c2ccc(OCC(F)(F)F)cn2)nn1.C[Si](C)(C)C=[N+]=[N-]
O=C=O,NC(=O)N[C@@H](CC(=O)O)C(=O)O
N#Cc1ccc(CN(c2ccc(O)cc2)n2ccnc2)cc1,COc1ccc(N(Cc2ccc(C#N)cc2)n2ccnc2)cc1
C/C(C=O)=C\C=C\C=C(C)\C=C\C=C(C)\C=C\[C@@]12O[C@]1(C)C[C@@H](O)CC2(C)C,CC(=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/[C@@]12O[C@]1(C)C[C@@H](O)CC2(C)C)/C=C/[C@@]12O[C@]1(C)C[C@@H](O)CC2(C)C
C[C@@H](NC(=O)C1(NC(=O)C(F)(F)F)CC1)c1ccc(-c2cccc(Cl)c2OS(=O)(=O)C(F)(F)F)cc1F,O=S(=O)(Oc1cccc(Cl)c1OS(=O)(=O)C(F)(F)F)C(F)(F)F.C[C@@H](NC(=O)C1(NC(=O)C(F)(F)F)CC1)c1ccc(B(O)O)cc1F
N#CCC(O)Cc1cccc(C(=O)c2ccccc2)c1,N#CCC(O)Cc1cccc(C(O)c2ccccc2)c1
CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCCCC)COP(=O)(O)O
COc1ccc2oc(=O)c(S(=O)(=O)Nc3ccc(F)c(N)c3)cc2c1,Nc1cc(NS(=O)(=O)CC(=O)O)ccc1F.COc1ccc(O)c(C=O)c1
CC(C)C(C(=O)O)N1C(=O)NC(CCc2ccccc2)C1=O,COC(=O)C(C(C)C)N1C(=O)NC(CCc2ccccc2)C1=O
*CCCCCCCCCCCCCO,*CCCCCCCCCCCCCOC(=O)CCCCCCCCCCCC*
CN(C)C(=O)C1CCN(Cc2cc3c(N4CCOCC4)nc(-c4cncnc4)nc3s2)CC1,OB(O)c1cncnc1.CN(C)C(=O)C1CCN(Cc2cc3c(N4CCOCC4)nc(Cl)nc3s2)CC1
Nc1ccccc1NC(=O)c1nc2c(s1)CN(C(=O)COc1ccccc1)CC2,Nc1ccccc1NC(=O)c1nc2c(s1)CNCC2.O=C(O)COc1ccccc1
CCN1CCCC[C@@H]1COc1ccnc2[nH]c3cnc(C#N)cc3c12,CCN1CCCC[C@@H]1COc1ccnc2c1c1cc(C#N)ncc1n2COCC[Si](C)(C)C
O=C([CoA])/C=C/CCCCCCCCCCCCC(=O)O,O=C(O)CCCCCCCCCCCCCCC(=O)[CoA]
CC(C)(C)OC(=O)N1CCC(O)(c2ccc(Cl)cc2)C(OCc2ccc3ccccc3c2)C1,BrCc1ccc2ccccc2c1.CC(C)(C)OC(=O)N1CCC(O)(c2ccc(Cl)cc2)C(O)C1
CCC(=O)O[C@H](CC(=O)O)C[N+](C)(C)C,CCC(=O)[CoA].C[N+](C)(C)C[C@H](O)CC(=O)O
COc1cc2nccc(Oc3ccc(NC(=O)NC4CC4)c(F)c3)c2cc1NC(=O)OCc1ccccc1,O=C(NC1CC1)Oc1ccccc1.COc1cc2nccc(Oc3ccc(N)c(F)c3)c2cc1NC(=O)OCc1ccccc1
C[C@@H]1Nc2nc(N)[nH]c(=O)c2N2CN(c3ccc(C[C@H](O)[C@H](O)[C@H](O)CO[C@H]4O[C@H](COP(=O)(O)O[C@@H](CCC(=O)O)C(=O)O)[C@@H](O)[C@H]4O)cc3)[C@H](C)[C@@H]12,C=O.C[C@@H]1Nc2nc(N)[nH]c(=O)c2N[C@H]1[C@@H](C)Nc1ccc(C[C@H](O)[C@H](O)[C@H](O)CO[C@H]2O[C@H](COP(=O)(O)O[C@@H](CCC(=O)O)C(=O)O)[C@@H](O)[C@H]2O)cc1
CCOC(=O)c1nn(CC(=O)Nc2ccc(Cl)cn2)c(C(=O)OCC)c1OCC(F)(F)F,O=C(CBr)Nc1ccc(Cl)cn1.CCOC(=O)c1n[nH]c(C(=O)OCC)c1OCC(F)(F)F
COC(=O)C1CCCN2CC(N=[N+]=[N-])C(=O)N12,COC(=O)C1CCCN2CC(Br)C(=O)N12
CO/N=C(\COc1ccc(COc2ccc(C(C#N)CC(=O)O)cc2)cc1)c1ccccc1,COC(=O)CC(C#N)c1ccc(O)cc1.CO/N=C(\COc1ccc(CO)cc1)c1ccccc1
CCCCCCCCCCCCCCCCCCOC(=O)N(N)C(=O)c1cc(O)ccc1O,NNC(=O)c1cc(O)ccc1O.CCCCCCCCCCCCCCCCCCOC(=O)Cl
Cc1ccc2c(-c3ccc(F)cc3)cc(C(N)=O)nc2c1,Cc1ccc2c(-c3ccc(F)cc3)cc(C#N)nc2c1
CCN(C)c1ccc2c(c1)CCNC2=O,O=C1NCCc2cc(F)ccc21.CCNC
Cc1cccc(C=O)c1,Cc1cccc(CO)c1
Cn1ccc2cccc(C3=C(c4c[nH]c5c(CCCO)cccc45)C(=O)NC3=O)c21,COC(=O)C(=O)c1c[nH]c2c(CCCO)cccc12.Cn1ccc2cccc(CC(N)=O)c21
Cc1cc(N2CCOCC2)ccc1-c1nc2c(N[C@H]3[C@@H](C(N)=O)[C@@H]4C=C[C@H]3C4)c(Cl)cnc2[nH]1,NC(=O)[C@H]1[C@@H]2C=C[C@@H](C2)[C@H]1Nc1c(Cl)cnc(N)c1N.Cc1cc(N2CCOCC2)ccc1C=O
C=Cc1cc(P(=O)(OCC)c2ccc(C(F)(F)F)cc2)ccc1OC(C)C,C=Cc1cc(Br)ccc1OC(C)C.CCO[PH](=O)c1ccc(C(F)(F)F)cc1
CC(=O)CC(=O)Nc1nnc(C(C)(C)C)s1,C=C1CC(=O)O1.CC(C)(C)c1nnc(N)s1
CCOc1ccc(F)c(OC2=CC(=O)N([C@@H](CC(C)C)C(=O)Nc3ccn(C[C@@H]4COC(C)(C)O4)n3)C2)c1F,CC1(C)OC[C@@H](Cn2ccc(N)n2)O1.CCOc1ccc(F)c(OC2=CC(=O)N([C@@H](CC(C)C)C(=O)O)C2)c1F
COc1cn(CC(=O)O)c(=O)cc1-c1cc(Cl)ccc1C#N,COc1cn(CC(=O)OC(C)(C)C)c(=O)cc1-c1cc(Cl)ccc1C#N
CCOC(=O)C1(CC#Cc2ccc(OC(F)(F)F)cc2)CCC1,FC(F)(F)Oc1ccc(I)cc1.C#CCC1(C(=O)OCC)CCC1
C[C@]12CC[C@H]3[C@@H](CC[C@@H]4CC(=O)CC[C@]34C)[C@@H]1CCC2=O,C[C@]12CC[C@H]3[C@@H](CC[C@@H]4C[C@H](O)CC[C@]34C)[C@@H]1CCC2=O
OC[C@H]1OC(O)[C@@H](O)[C@@H](O)[C@@H]1O,O=[N+](O)c1ccc(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]2O)cc1
Cn1c(=O)c2c(-c3ccccc3)n(CC(CO[Si](C)(C)C(C)(C)C)OS(C)(=O)=O)cc2n(C)c1=O,CS(=O)(=O)Cl.Cn1c(=O)c2c(-c3ccccc3)n(CC(O)CO[Si](C)(C)C(C)(C)C)cc2n(C)c1=O
CC(C)=CCC/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C=C(\C)C(O)O,CC(C)=CCC/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C=C(\C)CO
O=CCn1cc(-c2ccc3c(c2)OCCc2sc(-c4ncnn4CC(F)(F)F)nc2-3)cn1,OCCn1cc(-c2ccc3c(c2)OCCc2sc(-c4ncnn4CC(F)(F)F)nc2-3)cn1
OB(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F,Fc1c(F)c(F)c(B(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c(F)c1F
NCC(=O)O,CC(=O)OP(=O)(O)O
COCCCOc1cccc(COC2CN(C(=O)OC(C)(C)C)CCC2c2ccc(OCCCOCc3ccccc3)cc2)c1,COc1ccccc1COCCCOc1ccc(C2CCN(C(=O)OC(C)(C)C)CC2O)cc1.COCCCOc1cc(CCl)cc(OC)c1
CC(C)(C)CC(=O)Oc1ccc(-c2nn(C3CCCC3)c3c(F)cccc23)cc1,Oc1ccc(-c2nn(C3CCCC3)c3c(F)cccc23)cc1.CC(C)(C)CC(=O)Cl
COC(=O)[C@H](CC(C)C)NC(=O)[C@H](CNC(=O)OC(C)(C)C)NC(=O)[C@H](Cc1ccccc1)NC(=O)OCc1ccccc1,O=P(Cl)(c1ccccc1)c1ccccc1.CC(C)(C)OC(=O)NC[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)OCc1ccccc1)C(=O)O.COC(=O)[C@@H](N)CCC(C)C
CCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCCN)OC(=O)CCCCCCCCCCCCC,CCCCCCCCCCCCCC(=O)O.CCCCCCCCCCCCCC(=O)O[C@H](CO)COP(=O)(O)OCCN
COc1cc(Cl)ccc1-c1nc2c(C(=O)NC3CC4CCCC(C3)N4C)cccc2o1,CN1C2CCCC1CC(N)C2.COc1cc(Cl)ccc1-c1nc2c(C(=O)O)cccc2o1
CC=COCc1nc(OCc2ccccc2)c(CC(C)C)[n+](O)c1Cl,C=CCOCc1nc(OCc2ccccc2)c(CC(C)C)[n+](O)c1Cl
Oc1cccc(-c2nc(N3CCOCC3)nc3nc[nH]c23)c1,c1ccc(COc2cccc(-c3nc(N4CCOCC4)nc4nc[nH]c34)c2)cc1
CC(C)CCN(C(=O)Nc1ncc(SCC(=O)O)s1)C1CCCCC1,O=C(O)CSc1cnc(NC(=O)N(CCc2ccccc2)C2CCCCC2)s1
O=C1CN(c2ccc(CCNS(=O)(=O)CC3CCCCC3)cc2OCc2ccccc2)S(=O)(=O)N1,C[Si](C)(C)CCN1C(=O)CN(c2ccc(CCNS(=O)(=O)CC3CCCCC3)cc2OCc2ccccc2)S1(=O)=O
CCN1CCC(c2cccc(F)c2F)CC1,Fc1cccc(C2CCNCC2)c1F.CCI
Cc1c2c(nc3ccccc13)CCN(S(=O)(=O)c1ccc(Cl)cc1)CC2,Clc1ccccc1.Cc1c2c(nc3ccccc13)CCNCC2
CC(=O)C(=O)O,CC(=O)OP(=O)(O)O.CC(=O)OP(=O)(O)O
C=CC[C@@H](NC(N)=O)c1ccc2c(c1)OCO2,C=CC[C@@H](N=C=O)c1ccc2c(c1)OCO2
Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1,C[C@@H]1O[C@H](OP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](n3cnc4c(=O)[nH]c(N)nc43)[C@H](O)[C@@H]2O)[C@@H](O)[C@H](O)[C@@H]1O
C[C@H](NC(=O)OCc1ccccc1)C(=O)c1cc(F)cc(F)c1,Fc1cc(F)cc([Mg]Br)c1.CON(C)C(=O)[C@H](C)NC(=O)OCc1ccccc1
N#CCC1(n2cc(-c3ccnc(Nc4ccc(-n5cccn5)cc4)n3)cn2)CCN(S(=O)(=O)C2CC2)CC1,N#CCC1(n2cc(-c3ccnc(Cl)n3)cn2)CCN(S(=O)(=O)C2CC2)CC1.Nc1ccc(-n2cccn2)cc1
O=C(O)Cn1c(=O)c(=O)[nH]c2ccc([N+](=O)O)cc21,O=C(O)Cn1c(=O)c(=O)[nH]c2ccccc21
CC(C)c1noc(-c2c(Cl)ccc(C(=O)c3cnn(C)c3O)c2Cl)n1,CC(C)c1noc(-c2c(Cl)ccc(C(=O)Cl)c2Cl)n1.Cn1nccc1O
CCC1SC(=O)N(CCCN2CCCC2)N=C1c1ccc(OCF)c(OC)c1,ClCCCN1CCOCC1.CCC1SC(=O)NN=C1c1ccc(OC(F)F)c(OC)c1
COC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)C=Cc1ccc(OC(C)=O)cc1,CC(=O)Oc1ccc(C=CC(=O)O)cc1.COC(=O)[C@@H](N)Cc1c[nH]c2ccccc12
COc1ccc2ncc(=O)n(C[C@@H](O)CNC[C@H]3CC(=O)N(c4ccc5c(n4)NC(=O)CO5)C3)c2n1,NC[C@H]1CC(=O)N(c2ccc3c(n2)NC(=O)CO3)C1.COc1ccc2ncc(=O)n(C[C@@H]3CO3)c2n1
COc1nc(C)cnc1N(C(=O)OCC(C)C)S(=O)(=O)c1ccccc1-c1ccc(O)cc1,CC(C)(C)[Si](C)(C)Oc1ccc(B(O)O)cc1.COc1nc(C)cnc1N(C(=O)OCC(C)C)S(=O)(=O)c1ccccc1I
OCc1cccc2nsnc12,BrCc1cccc2nsnc12
COc1cc(C[C@H](CO)[C@@H](CO)Cc2ccc(O)c(OC)c2)ccc1O,COc1cc(C[C@@H]2CO[C@@H](c3ccc(O)c(OC)c3)[C@@H]2CO)ccc1O
CN[C@@H](CSCC(CC(=O)O)C(=O)O)C(C)=O,C=C(CC(=O)O)C(=O)O.CN[C@@H](CS)C(C)=O
COc1cc(F)c(C(C#N)Nc2ccc(C#N)c(CNC(=O)OC(C)(C)C)c2)cc1OC,C[Si](C)(C)C#N.CC(C)(C)OC(=O)NCc1cc(N)ccc1C#N.COc1cc(F)c(C=O)cc1OC
Nc1ccc(C(=O)NCc2ccc(C(F)(F)F)cc2)cc1,NCc1ccc(C(F)(F)F)cc1.Nc1ccc(C(=O)O)cc1
OCC1=C[C@H](N[C@@H]2[C@H](O)[C@@H](O)[C@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](CO)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,OCC1=C[C@H](N[C@H]2C[C@H](CO)[C@@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
O=C(NN=c1c(=O)c2ccccc2c1=O)N(c1ccccc1)c1ccccc1,NNC(=O)N(c1ccccc1)c1ccccc1.O=C1c2ccccc2C(=O)C1(O)O
CC1(C)[C@@H](O)CC[C@@]2(C)[C@H]1CC[C@]1(C)[C@@H]2C(=O)C=C2[C@@H]3C[C@@](C)(C(=O)O)CC[C@]3(C)CC[C@]21C,CC1(C)C2CC[C@]3(C)C(C(=O)C=C4[C@@H]5C[C@@](C)(C=O)CC[C@]5(C)CC[C@]43C)[C@@]2(C)CC[C@@H]1O
OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,CC1=CC(=O)CC(C)(C)[C@@]1(O)/C=C/C(C)=C\C(=O)O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
CC1(O)Cc2cc3cc(O)cc(O)c3c(O)c2C(=O)C1C(=O)O,*C(=O)C1C(=O)c2c(cc3cc(O)cc(O)c3c2O)CC1(C)O
COc1ncc(-c2csc(COc3ccc(F)c(C(N)=NO)c3F)n2)s1,NC(=NO)c1c(F)ccc(OCc2nc(Br)cs2)c1F.CCCC[Sn](CCCC)(CCCC)c1cnc(OC)s1
CNc1nn2c(=O)n(Cc3ccc(C(F)(F)F)cc3)nc2c(-c2ccc(Cl)cc2)c1-c1ccc(Cl)cc1,O=c1n(Cc2ccc(C(F)(F)F)cc2)nc2c(-c3ccc(Cl)cc3)c(-c3ccc(Cl)cc3)c(Cl)nn12.CN
CCOC(=O)CC1(S(N)(=O)=O)c2ccccc2-c2ccccc21,NS(=O)(=O)C1c2ccccc2-c2ccccc21.CCOC(=O)CBr
CN(C)c1ccccn1,CCO.C(=NC1CCCCC1)=NC1CCCCC1
C=CCc1ccc2c(c1)c1cc(-c3ccc4c(c3)c3ccccc3n4CC(C)C)ccc1n2CC(C)C,C=CC[Sn](CCCC)(CCCC)CCCC.CC(C)Cn1c2ccccc2c2cc(-c3ccc4c(c3)c3cc(Br)ccc3n4CC(C)C)ccc21
